Hour,Type,Value
0.0,A1_Negative_Control,19
0.25,A1_Negative_Control,15
0.5,A1_Negative_Control,18
0.75,A1_Negative_Control,17
1.0,A1_Negative_Control,20
1.25,A1_Negative_Control,16
1.5,A1_Negative_Control,21
1.75,A1_Negative_Control,18
2.0,A1_Negative_Control,17
2.25,A1_Negative_Control,19
2.5,A1_Negative_Control,19
2.75,A1_Negative_Control,18
3.0,A1_Negative_Control,21
3.25,A1_Negative_Control,18
3.5,A1_Negative_Control,19
3.75,A1_Negative_Control,20
4.0,A1_Negative_Control,20
4.25,A1_Negative_Control,17
4.5,A1_Negative_Control,18
4.75,A1_Negative_Control,21
5.0,A1_Negative_Control,23
5.25,A1_Negative_Control,20
5.5,A1_Negative_Control,25
5.75,A1_Negative_Control,25
6.0,A1_Negative_Control,25
6.25,A1_Negative_Control,29
6.5,A1_Negative_Control,24
6.75,A1_Negative_Control,35
7.0,A1_Negative_Control,28
7.25,A1_Negative_Control,32
7.5,A1_Negative_Control,31
7.75,A1_Negative_Control,30
8.0,A1_Negative_Control,32
8.25,A1_Negative_Control,39
8.5,A1_Negative_Control,33
8.75,A1_Negative_Control,38
9.0,A1_Negative_Control,41
9.25,A1_Negative_Control,36
9.5,A1_Negative_Control,41
9.75,A1_Negative_Control,39
10.0,A1_Negative_Control,36
10.25,A1_Negative_Control,38
10.5,A1_Negative_Control,48
10.75,A1_Negative_Control,42
11.0,A1_Negative_Control,41
11.25,A1_Negative_Control,43
11.5,A1_Negative_Control,41
11.75,A1_Negative_Control,49
12.0,A1_Negative_Control,53
12.25,A1_Negative_Control,45
12.5,A1_Negative_Control,47
12.75,A1_Negative_Control,54
13.0,A1_Negative_Control,55
13.25,A1_Negative_Control,58
13.5,A1_Negative_Control,53
13.75,A1_Negative_Control,52
14.0,A1_Negative_Control,49
14.25,A1_Negative_Control,57
14.5,A1_Negative_Control,56
14.75,A1_Negative_Control,56
15.0,A1_Negative_Control,53
15.25,A1_Negative_Control,63
15.5,A1_Negative_Control,59
15.75,A1_Negative_Control,60
16.0,A1_Negative_Control,51
16.25,A1_Negative_Control,60
16.5,A1_Negative_Control,62
16.75,A1_Negative_Control,46
17.0,A1_Negative_Control,51
17.25,A1_Negative_Control,57
17.5,A1_Negative_Control,62
17.75,A1_Negative_Control,60
18.0,A1_Negative_Control,57
18.25,A1_Negative_Control,59
18.5,A1_Negative_Control,53
18.75,A1_Negative_Control,56
19.0,A1_Negative_Control,52
19.25,A1_Negative_Control,50
19.5,A1_Negative_Control,54
19.75,A1_Negative_Control,58
20.0,A1_Negative_Control,52
20.25,A1_Negative_Control,60
20.5,A1_Negative_Control,55
20.75,A1_Negative_Control,62
21.0,A1_Negative_Control,64
21.25,A1_Negative_Control,53
21.5,A1_Negative_Control,62
21.75,A1_Negative_Control,54
22.0,A1_Negative_Control,57
22.25,A1_Negative_Control,55
22.5,A1_Negative_Control,59
22.75,A1_Negative_Control,60
23.0,A1_Negative_Control,61
23.25,A1_Negative_Control,56
23.5,A1_Negative_Control,57
23.75,A1_Negative_Control,54
24.0,A1_Negative_Control,50
24.25,A1_Negative_Control,56
24.5,A1_Negative_Control,57
24.75,A1_Negative_Control,58
25.0,A1_Negative_Control,63
25.25,A1_Negative_Control,49
25.5,A1_Negative_Control,56
25.75,A1_Negative_Control,56
26.0,A1_Negative_Control,61
26.25,A1_Negative_Control,58
26.5,A1_Negative_Control,60
26.75,A1_Negative_Control,59
27.0,A1_Negative_Control,53
27.25,A1_Negative_Control,58
27.5,A1_Negative_Control,59
27.75,A1_Negative_Control,59
28.0,A1_Negative_Control,57
28.25,A1_Negative_Control,58
28.5,A1_Negative_Control,59
28.75,A1_Negative_Control,60
29.0,A1_Negative_Control,51
29.25,A1_Negative_Control,64
29.5,A1_Negative_Control,51
29.75,A1_Negative_Control,61
30.0,A1_Negative_Control,60
30.25,A1_Negative_Control,65
30.5,A1_Negative_Control,66
30.75,A1_Negative_Control,66
31.0,A1_Negative_Control,62
31.25,A1_Negative_Control,61
31.5,A1_Negative_Control,60
31.75,A1_Negative_Control,52
32.0,A1_Negative_Control,62
32.25,A1_Negative_Control,56
32.5,A1_Negative_Control,63
32.75,A1_Negative_Control,56
33.0,A1_Negative_Control,66
33.25,A1_Negative_Control,61
33.5,A1_Negative_Control,62
33.75,A1_Negative_Control,51
34.0,A1_Negative_Control,59
34.25,A1_Negative_Control,56
34.5,A1_Negative_Control,62
34.75,A1_Negative_Control,64
35.0,A1_Negative_Control,66
35.25,A1_Negative_Control,65
35.5,A1_Negative_Control,55
35.75,A1_Negative_Control,65
36.0,A1_Negative_Control,57
36.25,A1_Negative_Control,62
36.5,A1_Negative_Control,56
36.75,A1_Negative_Control,66
37.0,A1_Negative_Control,63
37.25,A1_Negative_Control,62
37.5,A1_Negative_Control,64
37.75,A1_Negative_Control,57
38.0,A1_Negative_Control,60
38.25,A1_Negative_Control,61
38.5,A1_Negative_Control,67
38.75,A1_Negative_Control,62
39.0,A1_Negative_Control,69
39.25,A1_Negative_Control,60
39.5,A1_Negative_Control,63
39.75,A1_Negative_Control,55
40.0,A1_Negative_Control,60
40.25,A1_Negative_Control,61
40.5,A1_Negative_Control,63
40.75,A1_Negative_Control,62
41.0,A1_Negative_Control,65
41.25,A1_Negative_Control,67
41.5,A1_Negative_Control,56
41.75,A1_Negative_Control,58
42.0,A1_Negative_Control,59
42.25,A1_Negative_Control,59
42.5,A1_Negative_Control,62
42.75,A1_Negative_Control,55
43.0,A1_Negative_Control,64
43.25,A1_Negative_Control,62
43.5,A1_Negative_Control,63
43.75,A1_Negative_Control,65
44.0,A1_Negative_Control,62
44.25,A1_Negative_Control,66
44.5,A1_Negative_Control,57
44.75,A1_Negative_Control,53
45.0,A1_Negative_Control,60
45.25,A1_Negative_Control,60
45.5,A1_Negative_Control,65
45.75,A1_Negative_Control,67
46.0,A1_Negative_Control,69
46.25,A1_Negative_Control,56
46.5,A1_Negative_Control,63
46.75,A1_Negative_Control,61
47.0,A1_Negative_Control,57
47.25,A1_Negative_Control,62
47.5,A1_Negative_Control,60
47.75,A1_Negative_Control,62
48.0,A1_Negative_Control,65
48.25,A1_Negative_Control,59
48.5,A1_Negative_Control,61
48.75,A1_Negative_Control,58
49.0,A1_Negative_Control,66
49.25,A1_Negative_Control,58
49.5,A1_Negative_Control,59
49.75,A1_Negative_Control,56
50.0,A1_Negative_Control,63
50.25,A1_Negative_Control,53
50.5,A1_Negative_Control,64
50.75,A1_Negative_Control,64
51.0,A1_Negative_Control,67
51.25,A1_Negative_Control,60
51.5,A1_Negative_Control,64
51.75,A1_Negative_Control,70
52.0,A1_Negative_Control,60
52.25,A1_Negative_Control,58
52.5,A1_Negative_Control,62
52.75,A1_Negative_Control,62
53.0,A1_Negative_Control,52
53.25,A1_Negative_Control,51
53.5,A1_Negative_Control,52
53.75,A1_Negative_Control,57
54.0,A1_Negative_Control,66
54.25,A1_Negative_Control,55
54.5,A1_Negative_Control,60
54.75,A1_Negative_Control,50
55.0,A1_Negative_Control,61
55.25,A1_Negative_Control,69
55.5,A1_Negative_Control,65
55.75,A1_Negative_Control,65
56.0,A1_Negative_Control,58
56.25,A1_Negative_Control,67
56.5,A1_Negative_Control,66
56.75,A1_Negative_Control,63
57.0,A1_Negative_Control,56
57.25,A1_Negative_Control,69
57.5,A1_Negative_Control,59
57.75,A1_Negative_Control,64
58.0,A1_Negative_Control,64
58.25,A1_Negative_Control,57
58.5,A1_Negative_Control,72
58.75,A1_Negative_Control,58
59.0,A1_Negative_Control,65
59.25,A1_Negative_Control,65
59.5,A1_Negative_Control,59
59.75,A1_Negative_Control,69
60.0,A1_Negative_Control,64
60.25,A1_Negative_Control,66
60.5,A1_Negative_Control,64
60.75,A1_Negative_Control,56
61.0,A1_Negative_Control,66
61.25,A1_Negative_Control,67
61.5,A1_Negative_Control,64
61.75,A1_Negative_Control,58
62.0,A1_Negative_Control,65
62.25,A1_Negative_Control,64
62.5,A1_Negative_Control,72
62.75,A1_Negative_Control,65
63.0,A1_Negative_Control,61
63.25,A1_Negative_Control,67
63.5,A1_Negative_Control,62
63.75,A1_Negative_Control,66
64.0,A1_Negative_Control,62
64.25,A1_Negative_Control,62
64.5,A1_Negative_Control,64
64.75,A1_Negative_Control,65
65.0,A1_Negative_Control,65
65.25,A1_Negative_Control,61
65.5,A1_Negative_Control,70
65.75,A1_Negative_Control,60
66.0,A1_Negative_Control,62
66.25,A1_Negative_Control,62
66.5,A1_Negative_Control,66
66.75,A1_Negative_Control,62
67.0,A1_Negative_Control,62
67.25,A1_Negative_Control,64
67.5,A1_Negative_Control,64
67.75,A1_Negative_Control,64
68.0,A1_Negative_Control,64
68.25,A1_Negative_Control,63
