Hour,Type,Value
49.75,A1_Negative_Control,97
50.0,A1_Negative_Control,94
50.25,A1_Negative_Control,91
50.5,A1_Negative_Control,96
50.75,A1_Negative_Control,99
51.0,A1_Negative_Control,99
51.25,A1_Negative_Control,97
51.5,A1_Negative_Control,101
51.75,A1_Negative_Control,98
52.0,A1_Negative_Control,95
52.25,A1_Negative_Control,95
52.5,A1_Negative_Control,99
52.75,A1_Negative_Control,99
53.0,A1_Negative_Control,91
53.25,A1_Negative_Control,92
53.5,A1_Negative_Control,93
53.75,A1_Negative_Control,94
54.0,A1_Negative_Control,100
54.25,A1_Negative_Control,97
54.5,A1_Negative_Control,100
54.75,A1_Negative_Control,94
55.0,A1_Negative_Control,96
55.25,A1_Negative_Control,98
55.5,A1_Negative_Control,97
55.75,A1_Negative_Control,100
56.0,A1_Negative_Control,96
56.25,A1_Negative_Control,97
56.5,A1_Negative_Control,96
56.75,A1_Negative_Control,98
57.0,A1_Negative_Control,97
57.25,A1_Negative_Control,101
57.5,A1_Negative_Control,97
57.75,A1_Negative_Control,99
58.0,A1_Negative_Control,100
58.25,A1_Negative_Control,93
58.5,A1_Negative_Control,104
58.75,A1_Negative_Control,97
59.0,A1_Negative_Control,101
59.25,A1_Negative_Control,100
59.5,A1_Negative_Control,100
59.75,A1_Negative_Control,98
60.0,A1_Negative_Control,99
60.25,A1_Negative_Control,96
60.5,A1_Negative_Control,105
60.75,A1_Negative_Control,102
61.0,A1_Negative_Control,104
61.25,A1_Negative_Control,102
61.5,A1_Negative_Control,101
61.75,A1_Negative_Control,104
62.0,A1_Negative_Control,98
62.25,A1_Negative_Control,101
62.5,A1_Negative_Control,105
62.75,A1_Negative_Control,98
63.0,A1_Negative_Control,102
63.25,A1_Negative_Control,98
63.5,A1_Negative_Control,96
63.75,A1_Negative_Control,96
64.0,A1_Negative_Control,101
64.25,A1_Negative_Control,100
64.5,A1_Negative_Control,103
64.75,A1_Negative_Control,99
65.0,A1_Negative_Control,100
65.25,A1_Negative_Control,98
65.5,A1_Negative_Control,103
65.75,A1_Negative_Control,104
66.0,A1_Negative_Control,100
66.25,A1_Negative_Control,100
66.5,A1_Negative_Control,101
66.75,A1_Negative_Control,103
67.0,A1_Negative_Control,98
67.25,A1_Negative_Control,104
67.5,A1_Negative_Control,98
67.75,A1_Negative_Control,104
68.0,A1_Negative_Control,102
68.25,A1_Negative_Control,103
68.5,A1_Negative_Control,103
68.75,A1_Negative_Control,102
69.0,A1_Negative_Control,102
69.25,A1_Negative_Control,99
69.5,A1_Negative_Control,103
69.75,A1_Negative_Control,99
70.0,A1_Negative_Control,99
70.25,A1_Negative_Control,101
70.5,A1_Negative_Control,101
70.75,A1_Negative_Control,99
71.0,A1_Negative_Control,100
71.25,A1_Negative_Control,103
71.5,A1_Negative_Control,99
71.75,A1_Negative_Control,97
72.0,A1_Negative_Control,102
72.25,A1_Negative_Control,108
72.5,A1_Negative_Control,104
72.75,A1_Negative_Control,104
73.0,A1_Negative_Control,109
73.25,A1_Negative_Control,102
73.5,A1_Negative_Control,104
73.75,A1_Negative_Control,106
74.0,A1_Negative_Control,103
74.25,A1_Negative_Control,101
74.5,A1_Negative_Control,103
74.75,A1_Negative_Control,107
75.0,A1_Negative_Control,107
75.25,A1_Negative_Control,103
75.5,A1_Negative_Control,103
75.75,A1_Negative_Control,99
76.0,A1_Negative_Control,103
76.25,A1_Negative_Control,102
76.5,A1_Negative_Control,105
76.75,A1_Negative_Control,106
77.0,A1_Negative_Control,114
77.25,A1_Negative_Control,109
77.5,A1_Negative_Control,108
77.75,A1_Negative_Control,109
78.0,A1_Negative_Control,106
78.25,A1_Negative_Control,107
78.5,A1_Negative_Control,109
78.75,A1_Negative_Control,108
79.0,A1_Negative_Control,104
79.25,A1_Negative_Control,104
79.5,A1_Negative_Control,113
79.75,A1_Negative_Control,107
80.0,A1_Negative_Control,111
80.25,A1_Negative_Control,110
80.5,A1_Negative_Control,110
80.75,A1_Negative_Control,113
81.0,A1_Negative_Control,102
81.25,A1_Negative_Control,110
81.5,A1_Negative_Control,110
81.75,A1_Negative_Control,0
0.0,A2_L-Arabinose,46
0.25,A2_L-Arabinose,55
0.5,A2_L-Arabinose,59
0.75,A2_L-Arabinose,58
1.0,A2_L-Arabinose,60
1.25,A2_L-Arabinose,60
1.5,A2_L-Arabinose,61
1.75,A2_L-Arabinose,60
2.0,A2_L-Arabinose,63
2.25,A2_L-Arabinose,64
2.5,A2_L-Arabinose,63
2.75,A2_L-Arabinose,70
3.0,A2_L-Arabinose,64
3.25,A2_L-Arabinose,66
3.5,A2_L-Arabinose,70
3.75,A2_L-Arabinose,68
4.0,A2_L-Arabinose,68
4.25,A2_L-Arabinose,60
4.5,A2_L-Arabinose,62
4.75,A2_L-Arabinose,68
5.0,A2_L-Arabinose,64
5.25,A2_L-Arabinose,67
5.5,A2_L-Arabinose,70
5.75,A2_L-Arabinose,67
6.0,A2_L-Arabinose,73
6.25,A2_L-Arabinose,69
6.5,A2_L-Arabinose,71
6.75,A2_L-Arabinose,75
7.0,A2_L-Arabinose,70
7.25,A2_L-Arabinose,74
7.5,A2_L-Arabinose,75
7.75,A2_L-Arabinose,69
8.0,A2_L-Arabinose,73
8.25,A2_L-Arabinose,77
8.5,A2_L-Arabinose,77
8.75,A2_L-Arabinose,75
9.0,A2_L-Arabinose,78
9.25,A2_L-Arabinose,77
9.5,A2_L-Arabinose,76
9.75,A2_L-Arabinose,73
10.0,A2_L-Arabinose,76
10.25,A2_L-Arabinose,76
10.5,A2_L-Arabinose,76
10.75,A2_L-Arabinose,73
11.0,A2_L-Arabinose,77
11.25,A2_L-Arabinose,79
11.5,A2_L-Arabinose,79
11.75,A2_L-Arabinose,81
12.0,A2_L-Arabinose,80
12.25,A2_L-Arabinose,80
12.5,A2_L-Arabinose,82
12.75,A2_L-Arabinose,85
13.0,A2_L-Arabinose,83
13.25,A2_L-Arabinose,83
13.5,A2_L-Arabinose,86
13.75,A2_L-Arabinose,86
14.0,A2_L-Arabinose,80
