"Wells","sample","OD.k","OD.n0","OD.r","OD.t_mid","OD.t_gen","OD.auc_l","OD.auc_e","OD.sigma","OD.note","OD.AUC","OD.max_gr","OD.max_val"
"bactExtract_Y3P188_PM1_  A01","NA",47.0579542868641,19.5792668725384,0.16918043287596,2.00342026316478,4.09708834985751,1991.46479601366,1998,4.60626973454557,"",1331.125,2.91347889197726,53
"bactExtract_Y3P188_PM1_  A02","NA",282.764413065581,15.9957228578156,0.291891875803624,9.64076366033355,2.37467102724802,10648.8489059841,10751.75,23.7426676267161,"",8566.75,0.49049765611311,296
"bactExtract_Y3P188_PM1_  A03","NA",296.457574731253,8.54188722373333,0.259624757172502,13.5491150925038,2.66980386658349,10031.7824361686,10047.25,22.4923681560167,"",8631.5,1.30192415556107,310
"bactExtract_Y3P188_PM1_  A04","NA",31.4817457370749,14.4121370551453,0.0832699554407576,2.0322925441454,8.32409693137262,1208.46425613473,1212.625,4.80597334432835,"",345.5,2.6663961101277,40
"bactExtract_Y3P188_PM1_  A05","NA",118.252161866678,0.990815719533738,0.511964522719874,9.32414586488562,1.35389690066319,4512.43380883411,4557.875,9.6517398834204,"",4035.25,1.21494853954414,126
"bactExtract_Y3P188_PM1_  A06","NA",295.948574512148,7.56123306500516,0.184513302042553,19.7344592019316,3.7566244432615,8185.18735936364,8225.875,22.3264474757748,"",7703.375,1.0315022719975,305
"bactExtract_Y3P188_PM1_  A07","NA",209.66846612011,3.78091033470529,0.189344526593737,21.1115971295681,3.66077220730643,5520.12744986809,5606.25,17.0983347469661,"",4871,2.09336971520621,215
"bactExtract_Y3P188_PM1_  A08","NA",271.052674533358,6.84278976234134,0.211531430742742,17.271893278728,3.27680467212898,8162.78473158208,8191.625,20.3130811386642,"",6529.625,1.49904386454881,282
"bactExtract_Y3P188_PM1_  A09","NA",30.8107821913371,9.30478628838654,0.134704610148521,6.21955590162927,5.1456826889273,1190.52539975924,1194.25,3.20742274864388,"",542.125,1.74158604805909,35
"bactExtract_Y3P188_PM1_  A10","NA",62800150.3114198,15.3648649613819,0.0458453365225772,332.059605799634,15.1192516651851,2622.70408057189,2633.75,12.0542395428076,"",1288.25,2.18656875629989,168
"bactExtract_Y3P188_PM1_  A11","NA",276.883824146366,3.66358175385166,0.321052341584929,13.4303238755275,2.15898497154111,9421.87020315419,9513.125,21.0957109830856,"",8525.375,2.04367068146587,284
"bactExtract_Y3P188_PM1_  A12","NA",38.6706497384892,15.4482270978703,0.207614723001317,1.9633677869444,3.33862247599631,1665.95930279621,1669,3.94168367175594,"",87.125,1.20934136165741,44
"bactExtract_Y3P188_PM1_  B01","NA",31.9491554775103,17.0437597401877,0.0741194172028791,-1.80871446015731,9.35176242229035,1257.73856027256,1262.125,3.50394343526137,"questionable fit",550,2.04367068146587,36
"bactExtract_Y3P188_PM1_  B02","NA",36.7114996090734,8.38652236901873,0.265368826899522,4.58651485252207,2.61201433739764,1539.54166163801,1544.375,3.65746719052264,"",1021.875,1.75333560354472,42
"bactExtract_Y3P188_PM1_  B03","NA",287.333509082692,3.37599434442982,0.31186719976517,14.2116090849301,2.22257159804516,9554.00953419173,9600.625,21.6593700942281,"",8329.375,1.98610536072614,300
"bactExtract_Y3P188_PM1_  B04","NA",42.0228113427847,11.0745524519606,0.186908468808204,5.49823581615977,3.70848461270751,1696.34492069252,1700.125,4.16811919985003,"",1177.625,1.24084326274337,48
"bactExtract_Y3P188_PM1_  B05","NA",277.337814660234,1.97578958605306,0.17496600546338,28.2175875523626,3.96161059243602,5389.80565777039,5634.625,23.6973554612197,"",4746.5,1.55134161274706,268
"bactExtract_Y3P188_PM1_  B06","NA",212.861385497869,0.916584395212632,0.462064401470815,11.7806673333402,1.50010946169746,7601.27871645048,7682.875,17.0844505308919,"",7160.375,1.74158604805909,228
"bactExtract_Y3P188_PM1_  B07","NA",33.6718639562644,8.63981379690432,0.157508796036803,6.75375601643246,4.40068871073072,1308.9643315859,1313.375,3.69456096265087,"",790.875,2.23886650449814,39
"bactExtract_Y3P188_PM1_  B08","NA",303.055774538798,71.0018852650645,0.0335533664446078,35.2949143950331,20.6580517547842,5886.90617264929,5911.375,13.9890166408978,"",2918.25,0.339658967888199,192
"bactExtract_Y3P188_PM1_  B09","NA",38.3878051437769,9.4966973036409,0.132920304341073,8.37035229630853,5.2147577000827,1421.60874720977,1425.625,3.6807952336348,"",903.125,1.62215267842094,42
"bactExtract_Y3P188_PM1_  B10","NA",33.5239834527284,8.81759804980112,0.166935384001646,6.17192233837711,4.15218849320233,1324.39407662721,1328.5,3.5143171638423,"",761.25,1.25485630952972,39
"bactExtract_Y3P188_PM1_  B11","NA",264.71269791499,7.92960875804997,0.211520543856713,16.4410886836741,3.27697332808246,8185.38043430918,8244.125,19.6377059882263,"",7531.25,1.15093564163566,271
"bactExtract_Y3P188_PM1_  B12","NA",210.962130038769,6.93215690644608,0.268603729324287,12.5913959273439,2.58055680129111,7338.21831386869,7382.25,16.5906274136224,"",6622.25,1.80826627106624,223
"bactExtract_Y3P188_PM1_  C01","NA",53.7133037787209,24.6875282987986,0.120507054838481,1.34337409670669,5.75192200563687,2206.59856250025,2210.875,5.46141966819432,"",157,1.08793086286249,59
"bactExtract_Y3P188_PM1_  C02","NA",38.6619725130942,10.7664367286751,0.225984364113114,4.21282723329759,3.0672351305376,1617.73754922753,1622.25,3.73532600101866,"",1052.375,1.51823201052688,44
"bactExtract_Y3P188_PM1_  C03","NA",160.788252331625,3.13693178011962,0.367182643661096,10.6680984189699,1.88774494798754,5913.5099868311,5942.875,12.9491637889058,"",5420.375,2.39177890437903,170
"bactExtract_Y3P188_PM1_  C04","NA",303.312688208375,41.9065892065381,0.114264527759148,16.0210005153881,6.06616238786717,9225.06182487073,9316.25,26.8049603152682,"",6560.125,0.577102405778234,296
"bactExtract_Y3P188_PM1_  C05","NA",140.659848015286,1.45615307049497,0.318920228226417,14.2986860443706,2.17341867718672,4665.51320725566,4721.125,11.0430467661348,"",4198.625,1.49904386454881,148
"bactExtract_Y3P188_PM1_  C06","NA",285.677089725443,5.20542851590392,0.28860760836778,13.8138099907643,2.40169406648715,9605.22936015266,9647.25,21.3006873565647,"",8986.25,1.97026090133409,298
"bactExtract_Y3P188_PM1_  C07","NA",270.253935610161,2.24295719801442,0.283152874830082,16.8927572212822,2.44796095033787,8263.93779469128,8346.375,20.2065222307054,"",7823.875,1.74158604805909,281
"bactExtract_Y3P188_PM1_  C08","NA",239.344069429055,2.0948806031746,0.3169148263496,14.9239292855694,2.18717182955432,7790.27480229475,7902.375,19.4044482749326,"",7379.875,1.49904386454881,252
"bactExtract_Y3P188_PM1_  C09","NA",280.823074949751,2.57697652026399,0.359209698361922,13.0338606369196,1.92964495034754,9671.68338447636,9721.875,21.3884353184076,"",9199.375,1.25485630952972,297
"bactExtract_Y3P188_PM1_  C10","NA",259.68705105431,1.69557075399242,0.180118491078563,27.8977861741107,3.84828440661106,5122.61032378598,5326.625,21.3674653525056,"",4131,1.49904386454881,258
